fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g
167621,"Walrus, meat, dried (Alaska Native)",sr_legacy_food,24,2019-04-01,251.4,57.0,2.6,0.0
167622,"Deer (venison), sitka, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,109.9,21.5,2.66,0.0
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",sr_legacy_food,24,2019-04-01,870.1,0.4,96.5,0.0
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",sr_legacy_food,24,2019-04-01,465.3,12.6,46.1,0.0
167625,"Oil, whale, bowhead (Alaska Native)",sr_legacy_food,24,2019-04-01,900.0,0.0,100.0,0.0
167626,"Fish, whitefish, broad, liver (Alaska Native)",sr_legacy_food,24,2019-04-01,104.0,11.0,4.4,5.1
167627,"Mush, blue corn with ash (Navajo)",sr_legacy_food,24,2019-04-01,54.0,0.66,0.49,11.74
167628,"Cornmeal, blue (Navajo)",sr_legacy_food,24,2019-04-01,398.3,10.4,5.44,76.93
167629,"Melon, banana (Navajo)",sr_legacy_food,24,2019-04-01,21.4,0.84,0.2,4.06
167630,Chilchen (Red Berry Beverage) (Navajo),sr_legacy_food,24,2019-04-01,43.6,0.81,0.63,8.68
167631,"Corn, dried (Navajo)",sr_legacy_food,24,2019-04-01,386.2,9.88,5.22,74.93
167632,"Squash, Indian, cooked, boiled (Navajo)",sr_legacy_food,24,2019-04-01,15.5,0.31,0.15,3.22
167633,"Bread, kneel down (Navajo)",sr_legacy_food,24,2019-04-01,194.9,4.29,2.21,39.47
167634,"Mutton, cooked, roasted (Navajo)",sr_legacy_food,24,2019-04-01,233.8,33.43,11.09,0.08
167635,"Frybread, made with lard (Navajo)",sr_legacy_food,24,2019-04-01,329.8,6.69,12.22,48.26
167636,Tamales (Navajo),sr_legacy_food,24,2019-04-01,152.7,6.28,6.12,18.12
167637,"Stew, steamed corn (Navajo)",sr_legacy_food,24,2019-04-01,112.2,8.82,3.75,10.8
167638,"Fish, halibut, raw, with skin (Alaska Native)",sr_legacy_food,24,2019-04-01,115.6,20.53,2.92,1.81
167639,"Fish, salmon, coho (silver), raw (Alaska Native)",sr_legacy_food,24,2019-04-01,140.4,22.56,5.57,0.0
167640,"Blueberries, wild, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,61.0,1.22,0.76,12.31
167641,"Oil, spotted seal (Alaska Native)",sr_legacy_food,24,2019-04-01,893.9,0.0,99.32,0.0
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",sr_legacy_food,24,2019-04-01,161.1,27.31,5.76,0.0
167643,"Fish, whitefish, eggs (Alaska Native)",sr_legacy_food,24,2019-04-01,104.1,14.66,2.88,4.89
167644,"Caribou, rump meat, half dried (Alaska Native)",sr_legacy_food,24,2019-04-01,255.3,52.06,5.23,0.0
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",sr_legacy_food,24,2019-04-01,206.1,35.19,7.26,0.0
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",sr_legacy_food,24,2019-04-01,140.8,24.5,4.75,0.0
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",sr_legacy_food,24,2019-04-01,209.3,23.19,12.95,0.0
167648,"Fish, sheefish, raw (Alaska Native)",sr_legacy_food,24,2019-04-01,114.6,22.25,2.84,0.0
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,97.5,21.44,1.3,0.0
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",sr_legacy_food,24,2019-04-01,270.3,62.38,2.31,0.0
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,146.2,32.51,1.8,0.0
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",sr_legacy_food,24,2019-04-01,97.9,19.74,2.1,0.0
167653,"Corn, dried, yellow (Northern Plains Indians)",sr_legacy_food,24,2019-04-01,418.8,14.48,10.64,66.27
167654,"Smelt, dried (Alaska Native)",sr_legacy_food,24,2019-04-01,385.9,56.19,17.9,0.0
167655,"Frybread, made with lard (Apache)",sr_legacy_food,24,2019-04-01,308.8,8.38,10.14,46.01
167656,Corned beef and potatoes in tortilla (Apache),sr_legacy_food,24,2019-04-01,223.8,7.91,8.31,29.35
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",sr_legacy_food,25,2019-04-01,229.3,13.19,11.05,19.28
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",sr_legacy_food,25,2019-04-01,219.2,12.56,10.81,17.92
167659,"Restaurant, Latino, chicken and rice, entree, prepared",sr_legacy_food,25,2019-04-01,173.7,12.02,5.06,20.03
167660,"Restaurant, Latino, empanadas, beef, prepared",sr_legacy_food,25,2019-04-01,335.3,11.31,18.37,31.19
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",sr_legacy_food,25,2019-04-01,229.4,5.59,9.01,31.49
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",sr_legacy_food,25,2019-04-01,255.7,11.72,13.25,22.39
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",sr_legacy_food,25,2019-04-01,232.0,11.51,10.43,23.02
167664,"Restaurant, Latino, tamale, corn",sr_legacy_food,25,2019-04-01,185.5,3.48,7.21,26.68
167665,"Restaurant, Mexican, spanish rice",sr_legacy_food,25,2019-04-01,185.4,3.28,5.29,31.16
167666,"Restaurant, Mexican, refried beans",sr_legacy_food,25,2019-04-01,155.7,6.91,6.77,16.79
167667,"Restaurant, Chinese, egg rolls, assorted",sr_legacy_food,25,2019-04-01,249.7,8.28,11.94,27.29
167668,"Restaurant, Chinese, fried rice, without meat",sr_legacy_food,25,2019-04-01,174.0,4.05,2.96,32.79
167669,"CRACKER BARREL, steak fries",sr_legacy_food,25,2019-04-01,255.1,3.26,13.18,30.87
167670,"CRACKER BARREL, grilled sirloin steak",sr_legacy_food,25,2019-04-01,202.8,31.52,8.52,0.0
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",sr_legacy_food,25,2019-04-01,191.8,6.46,11.51,15.58
167672,"DENNY'S, french fries",sr_legacy_food,25,2019-04-01,281.6,3.41,14.13,35.2
167673,"DENNY'S, top sirloin steak",sr_legacy_food,25,2019-04-01,182.2,28.9,7.34,0.14
