fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
168082,"Restaurant, Chinese, sweet and sour pork",sr_legacy_food,25,2019-04-01,1129.0,8.91,15.66,23.34,1.0
168083,"Restaurant, Chinese, chicken chow mein",sr_legacy_food,25,2019-04-01,85.0,6.76,2.8,8.29,1.0
168084,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",sr_legacy_food,25,2019-04-01,182.0,1.34,1.68,5.74,1.2
168085,"OLIVE GARDEN, spaghetti with meat sauce",sr_legacy_food,25,2019-04-01,508.0,5.8,3.28,17.19,1.7
168086,"CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce",sr_legacy_food,25,2019-04-01,122.0,5.87,3.92,15.71,1.5
168087,"Restaurant, Chinese, sesame chicken",sr_legacy_food,25,2019-04-01,1226.0,14.33,14.25,26.88,0.7
168088,"Syrups, grenadine",sr_legacy_food,19,2019-04-01,1120.0,0.0,0.0,66.91,0.0
168089,"Imitation cheese, american or cheddar, low cholesterol",sr_legacy_food,1,2019-04-01,390.0,25.0,32.0,1.0,0.0
168090,"Babyfood, banana juice with low fat yogurt",sr_legacy_food,3,2019-04-01,358.0,2.5,0.8,17.54,0.4
168091,"Babyfood, mixed fruit juice with low fat yogurt",sr_legacy_food,3,2019-04-01,74.0,2.4,0.8,14.68,0.4
168092,"Ham, turkey, sliced, extra lean, prepackaged or deli",sr_legacy_food,7,2019-04-01,562.0,19.6,5.8,0.93,0.0
168093,"Salad dressing, peppercorn dressing, commercial, regular",sr_legacy_food,4,2019-04-01,564.0,1.2,61.4,3.5,0.0
168094,"Mayonnaise, reduced-calorie or diet, cholesterol-free",sr_legacy_food,4,2019-04-01,333.0,0.9,33.3,6.7,0.0
168095,"Granola bar, soft, milk chocolate coated, peanut butter",sr_legacy_food,23,2019-04-01,2241.0,9.6,31.2,54.1,3.8
168096,"Salad dressing, italian dressing, reduced calorie",sr_legacy_food,4,2019-04-01,200.0,0.3,20.0,6.7,0.2
168097,"Cream substitute, liquid, light",sr_legacy_food,1,2019-04-01,71.0,0.8,3.5,9.1,0.0
